appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1139800,Chinatris,"仓鼠动力, Args Studio",Gamera Games,,932,139,0,"50,000 .. 100,000",9,0,9,0,199,199,0,2
1622900,Star Trek: Infinite,Nimble Giant Entertainment,Paradox Interactive,,1481,1026,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,172
1321450,American Theft 80s,Noble Muffins,PlayWay S.A.,,549,168,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,12
1369520,Strangeland,Wormwood Studios,Wadjet Eye Games,,689,43,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,5
567670,Serious Sam 3 VR: BFE,Croteam VR,"Devolver Digital, Croteam Publishing",,454,76,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,4
306370,World of Subways 1 – The Path,TML-Studios,Aerosoft GmbH,,69,42,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,0
379290,Sumo Revise,"John Szymanski, Evan Szymanski, David Szymanski",John Szymanski,,71,74,0,"50,000 .. 100,000",192,0,192,0,0,0,0,1
539300,Solitaire,Sanuk Games,Nacon,,73,80,0,"50,000 .. 100,000",153,0,153,0,999,999,0,9
753980,ARK -the lost fairytale-,"Narrator, STORIA",Narrator,,8,0,0,"50,000 .. 100,000",0,0,0,0,299,299,0,0
1441840,FALL IN LABYRINTH,JUKKAKU GAMES,OTAKU Plan,,723,40,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,7
518920,Surgeon Simulator: Experience Reality,Bossa Studios,Bossa Studios,,486,437,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,4
291710,The Lost Crown,Darkling Room,Iceberg Interactive,,378,78,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1
458420,Last Heroes 3,Warfare Studios,Aldorlea Games,,51,21,0,"50,000 .. 100,000",123,0,123,0,699,699,0,0
1252560,Love Breakout,Neko Game,Neko Game,,636,86,0,"50,000 .. 100,000",0,0,0,0,99,99,0,2
440730,Survival Zombies The Inverted Evolution,Racing Bros,ANPA.US,,600,441,0,"50,000 .. 100,000",291,0,310,0,99,99,0,0
2250600,Disgaea 7: Vows of the Virtueless,"Nippon Ichi Software, Inc., Systemsoft beta, Inc.","NIS America, Inc.",,560,97,0,"50,000 .. 100,000",0,0,0,0,4799,5999,20,86
809230,Unity of Command II,"2x2 Games, Croteam",2x2 Games,,1366,312,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,83
1394800,Rebirth:Mr Wang,DSGame,DSGame,,1536,395,0,"50,000 .. 100,000",86,0,106,0,399,399,0,3
539670,Sakura Nova,Winged Cloud,Winged Cloud,,349,55,0,"50,000 .. 100,000",9,0,9,0,1499,1499,0,0
339130,Morningstar: Descent to Deadrock,Red Herring Labs,Phoenix Online Publishing,,497,36,0,"50,000 .. 100,000",104,0,123,0,999,999,0,0
